Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2023-08-26;4;8;10;11;14;15;17;18;20;21;31;33;40;44;47;54;57;60;62;65
2023-08-25;1;2;5;7;15;17;21;25;30;31;33;34;36;37;41;44;49;60;68;69
2023-08-24;2;10;17;24;25;27;32;33;36;37;40;45;47;48;50;52;55;62;68;70
2023-08-23;1;5;8;9;16;22;23;26;27;31;32;34;38;54;57;59;60;66;67;69
2023-08-22;1;5;6;9;11;16;18;20;21;26;27;42;52;54;56;58;62;68;69;70
2023-08-21;2;8;11;12;17;18;21;22;24;28;31;32;39;40;45;50;55;56;58;64
2023-08-20;2;3;6;7;16;18;19;24;26;27;28;32;35;41;52;56;57;62;69;70
2023-08-19;1;2;3;5;6;7;12;15;16;20;21;23;28;37;40;54;60;62;63;67
2023-08-18;7;9;12;13;14;17;19;24;32;34;36;37;42;47;49;53;56;59;60;62
2023-08-17;4;8;9;11;14;18;19;24;31;34;38;42;47;48;51;58;61;65;68;69
2023-08-16;3;6;17;22;23;31;32;33;34;36;40;41;43;44;54;57;60;63;67;70
2023-08-15;1;5;7;13;17;26;30;37;38;49;53;54;58;60;61;62;64;65;67;68
2023-08-14;7;10;19;28;29;31;33;34;36;37;40;41;44;45;48;51;58;66;67;69
2023-08-13;6;9;10;13;16;17;20;28;30;31;33;39;41;43;45;46;50;60;68;69
2023-08-12;6;12;15;17;18;19;25;28;32;34;35;39;40;52;54;55;57;60;64;69
2023-08-11;2;8;9;22;28;31;32;34;35;36;40;45;48;49;52;60;61;63;65;68
2023-08-10;2;3;12;13;14;15;19;30;33;37;40;42;49;52;53;54;56;62;68;69
2023-08-09;2;3;18;23;26;30;31;33;39;41;42;43;45;46;48;49;50;58;63;67
2023-08-08;8;11;15;16;23;24;28;29;31;33;34;36;40;45;48;50;55;65;66;67
2023-08-07;2;4;11;14;15;24;25;28;30;36;42;44;45;50;58;59;60;62;67;69
2023-08-06;4;9;14;17;18;19;22;27;29;30;31;38;42;44;46;55;57;60;67;70
2023-08-05;4;9;12;16;21;26;27;35;38;40;45;46;47;48;51;54;56;62;63;70
2023-08-04;11;12;15;21;26;27;29;30;32;34;37;39;41;47;49;50;52;63;64;66
2023-08-03;5;6;9;13;15;18;20;26;27;28;31;35;41;42;44;53;60;62;64;67
2023-08-02;2;3;8;13;17;28;29;36;37;41;42;43;45;46;49;53;55;58;63;66
2023-08-01;2;10;12;20;26;34;38;39;41;42;44;50;51;54;55;56;60;61;64;65
2023-07-31;5;15;17;20;24;25;27;32;33;34;38;48;49;52;54;58;59;61;62;63
2023-07-30;1;6;12;14;23;24;28;30;31;33;38;40;41;43;46;48;51;66;68;69
2023-07-29;1;7;8;11;13;20;23;24;32;36;38;41;43;52;53;55;56;62;64;67
2023-07-28;3;10;15;19;20;22;25;28;32;37;38;41;43;45;46;47;53;59;61;67
2023-07-27;2;4;5;6;9;23;25;26;27;29;30;32;33;52;56;57;63;66;67;70
2023-07-26;5;7;9;15;17;18;19;22;29;31;35;46;49;50;53;55;57;63;67;69
2023-07-25;1;16;17;21;26;27;28;29;31;37;39;42;47;48;51;52;59;61;65;69
2023-07-24;8;10;16;20;24;26;29;30;38;42;43;47;48;49;54;60;61;64;66;70
2023-07-23;4;6;8;17;19;21;26;31;34;35;38;41;45;46;52;54;58;59;66;68
2023-07-22;4;5;6;15;17;19;20;25;29;37;39;40;44;46;47;58;59;60;61;68
2023-07-21;3;5;6;13;15;17;24;25;33;36;37;40;46;47;53;54;56;59;68;69
2023-07-20;11;17;18;20;24;26;29;32;34;36;40;48;50;52;54;56;57;59;61;66
2023-07-19;1;15;17;18;20;23;24;27;28;29;31;38;39;43;47;56;57;59;60;68
2023-07-18;7;8;11;13;16;19;21;25;26;27;30;33;39;40;41;42;57;58;63;69
2023-07-17;11;13;20;25;26;29;32;33;36;37;39;42;51;52;54;55;57;58;65;68
2023-07-16;2;6;9;13;15;20;22;24;25;27;31;34;41;42;46;54;56;57;59;66
2023-07-15;6;8;11;16;22;25;26;27;35;36;40;41;44;45;47;50;54;60;67;68
2023-07-14;4;5;6;7;10;11;29;32;35;39;40;43;49;54;56;58;59;60;62;64
2023-07-13;1;2;6;11;17;21;25;27;30;31;35;37;46;48;49;55;56;58;61;69
2023-07-12;2;4;11;12;16;23;25;30;34;39;42;49;53;59;60;63;64;65;66;68
2023-07-11;7;10;13;14;17;22;23;25;27;30;31;34;36;38;44;52;57;59;61;65
2023-07-10;2;4;9;14;18;19;21;24;32;40;42;44;45;49;50;51;55;63;65;66
2023-07-09;2;3;4;8;16;19;21;23;27;34;35;39;42;46;49;50;57;58;61;62
2023-07-08;5;8;9;10;13;21;27;29;30;34;37;51;53;60;61;62;63;64;67;70
2023-07-07;6;7;25;28;30;32;36;37;38;39;46;48;51;53;54;56;57;59;66;70
2023-07-06;2;5;10;12;23;25;29;30;41;42;49;50;52;55;58;60;61;65;67;70
