Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2007-06-09;1;2;4;5;6;11;14;27;30;37;39;40;41;42;47;54;59;72;74;77
2007-06-08;8;10;11;12;25;30;32;38;47;48;52;55;56;57;62;66;67;69;74;76
2007-06-07;1;3;8;15;16;24;25;28;35;36;45;52;54;56;57;58;61;64;71;72
2007-06-06;5;9;11;14;15;18;20;23;39;47;48;49;50;51;53;56;69;71;72;78
2007-06-05;12;14;16;18;21;25;27;28;34;39;41;42;51;52;58;59;63;67;72;75
2007-06-04;1;7;10;12;25;28;44;45;46;47;48;49;54;61;63;65;71;73;76;80
2007-06-02;12;16;17;19;29;37;39;43;45;50;51;56;58;66;67;68;71;75;78;79
2007-06-01;1;2;4;6;7;15;20;21;24;25;30;34;42;43;45;46;57;58;65;73
2007-05-31;8;12;13;20;23;28;34;35;36;45;46;48;49;50;54;56;61;62;66;80
2007-05-30;6;7;14;16;20;23;25;30;39;46;53;55;60;61;62;63;66;68;69;79
2007-05-29;2;6;9;12;21;25;26;34;36;41;44;46;49;50;51;54;56;60;64;66
2007-05-26;1;9;21;24;26;31;38;40;41;42;49;51;53;55;58;60;65;72;76;80
2007-05-25;6;11;21;22;27;32;34;37;39;41;45;48;52;53;54;65;67;70;71;74
2007-05-24;2;3;4;5;11;12;16;19;30;31;39;41;44;47;49;50;51;61;78;79
2007-05-23;2;3;12;15;18;20;21;25;29;31;33;36;48;50;51;52;60;66;67;76
2007-05-22;3;12;13;18;20;21;22;23;26;29;33;37;42;49;52;58;68;74;77;79
2007-05-21;4;9;14;24;27;33;38;40;43;46;47;53;54;58;59;63;64;65;67;79
2007-05-19;2;5;8;10;11;13;15;17;21;25;36;37;39;42;43;44;65;67;76;78
2007-05-18;7;9;11;15;17;19;25;29;33;40;43;44;51;53;55;65;67;69;74;76
2007-05-16;6;10;14;16;17;18;21;22;23;24;25;31;32;35;46;50;55;60;62;77
2007-05-15;1;4;12;14;15;19;24;27;28;30;35;37;44;56;70;73;74;76;79;80
2007-05-14;3;7;12;13;15;17;21;22;33;45;46;51;58;60;63;66;69;74;76;80
2007-05-12;1;5;7;14;23;26;30;34;38;39;42;49;56;59;61;63;65;68;74;76
2007-05-11;5;6;11;13;16;18;21;24;29;34;39;41;44;49;51;57;65;66;79;80
2007-05-10;3;5;8;14;18;19;27;30;39;44;47;49;51;59;60;64;65;66;72;75
2007-05-09;1;2;5;8;15;17;19;26;31;34;39;51;55;64;66;69;72;76;78;79
2007-05-08;2;4;8;12;17;22;31;36;39;46;48;56;58;59;67;68;70;72;75;77
2007-05-07;1;2;3;10;28;31;32;33;36;42;46;51;52;55;59;65;73;74;77;78
2007-05-05;1;3;6;7;8;13;28;29;31;33;35;41;52;53;55;57;63;67;70;71
2007-05-04;6;19;21;22;23;29;32;36;38;40;42;49;56;68;70;74;75;78;79;80
2007-05-03;5;10;16;19;22;23;26;27;28;29;30;35;38;42;49;59;72;76;79;80
2007-05-02;1;3;6;7;8;13;16;22;25;39;40;42;46;50;56;58;61;73;74;78
2007-04-30;4;10;19;21;23;31;32;37;38;41;42;49;51;52;56;59;63;64;78;79
2007-04-28;3;20;24;30;31;34;45;47;49;50;52;57;62;64;66;69;70;75;77;79
2007-04-27;2;3;7;14;17;18;24;26;29;33;37;43;45;47;52;59;64;65;70;80
2007-04-26;3;4;5;7;15;19;20;29;40;44;47;48;58;64;67;68;71;75;76;78
2007-04-25;3;5;14;16;18;22;25;29;30;43;45;47;48;51;52;63;66;69;76;80
2007-04-24;7;8;10;27;28;38;40;47;48;54;55;57;60;62;63;66;69;70;76;78
2007-04-23;3;5;9;12;13;17;20;24;35;39;41;45;48;49;50;65;66;74;76;80
2007-04-21;5;7;11;14;15;17;18;21;33;35;39;41;47;54;55;59;63;71;76;78
2007-04-20;4;7;10;19;20;21;23;25;27;30;32;40;52;57;59;64;71;72;73;76
2007-04-19;6;8;15;17;22;23;29;31;32;37;43;47;52;57;59;67;68;72;76;80
2007-04-18;11;12;21;22;24;25;29;36;38;45;46;47;51;53;54;68;69;71;74;80
2007-04-17;2;5;6;13;14;19;27;28;29;31;32;34;35;37;41;49;50;58;71;79
2007-04-16;1;19;21;28;33;34;35;36;37;39;45;47;52;55;59;63;68;72;74;77
2007-04-14;1;2;6;8;9;12;14;21;28;29;32;34;39;43;44;47;50;58;66;78
2007-04-13;2;3;4;6;9;12;13;16;17;36;37;42;51;53;55;56;58;78;79;80
